Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Subject-Dependent,Subject10,none,SVM,84,0.6263399693721287,0.6164866055507772,0.34487032890319824,0.5513016845329249
Cross-Subject,Subject10,none,SVM,84,0.5172798216276477,0.4488669422152388,64.34536671638489,0.5254552211073951
Subject-Dependent,Subject10,none,KNN,84,0.5650842266462481,0.5624911608861188,0.20991086959838867,0.5513016845329249
Cross-Subject,Subject10,none,KNN,84,0.5332590115198811,0.5331639808527079,0.8216094970703125,0.5254552211073951
Subject-Dependent,Subject10,none,RF,84,0.5819295558958653,0.5724177885102135,10.84419059753418,0.5513016845329249
Cross-Subject,Subject10,none,RF,84,0.5849126718691936,0.5765143988430548,105.79966235160828,0.5254552211073951
Subject-Dependent,Subject10,none,DT,84,0.5911179173047473,0.5867098536878935,2.986234188079834,0.5513016845329249
Cross-Subject,Subject10,none,DT,84,0.5336306205871423,0.5334390879463848,105.4449212551117,0.5254552211073951
Subject-Dependent,Subject10,none,GBoosting,84,0.6140888208269525,0.606607018541593,13.82690715789795,0.5513016845329249
Cross-Subject,Subject10,none,GBoosting,84,0.5916016350798959,0.5782325699979189,501.5294346809387,0.5254552211073951
Subject-Dependent,Subject10,anova,SVM,34,0.6324655436447167,0.6253400176586601,0.3280611038208008,0.5513016845329249
Cross-Subject,Subject10,anova,SVM,30,0.5265700483091788,0.4815368788395762,56.408583641052246,0.5254552211073951
Subject-Dependent,Subject10,anova,KNN,34,0.5712098009188361,0.5667394504791867,0.007266998291015625,0.5513016845329249
Cross-Subject,Subject10,anova,KNN,30,0.5354886659234486,0.535599356423618,0.09637188911437988,0.5254552211073951
Subject-Dependent,Subject10,anova,RF,34,0.5650842266462481,0.5531453866349616,0.8858833312988281,0.5513016845329249
Cross-Subject,Subject10,anova,RF,30,0.5652173913043478,0.5610396332446023,22.694955825805664,0.5254552211073951
Subject-Dependent,Subject10,anova,DT,34,0.5329249617151608,0.5285395902074919,1.2209200859069824,0.5513016845329249
Cross-Subject,Subject10,anova,DT,30,0.5183946488294314,0.5184126508834659,33.74691867828369,0.5254552211073951
Subject-Dependent,Subject10,anova,GBoosting,34,0.5405819295558959,0.5242181300341411,11.547515153884888,0.5513016845329249
Cross-Subject,Subject10,anova,GBoosting,30,0.5704199182460052,0.5686634061705396,236.7738630771637,0.5254552211073951
Subject-Dependent,Subject10,fi,SVM,23,0.6094946401225115,0.6002165164554597,2.039201259613037,0.5513016845329249
Cross-Subject,Subject10,fi,SVM,28,0.5109624674842066,0.40314075385453557,36.51331377029419,0.5254552211073951
Subject-Dependent,Subject10,fi,KNN,23,0.5758039816232772,0.5752070059087125,0.003557443618774414,0.5513016845329249
Cross-Subject,Subject10,fi,KNN,28,0.5310293571163136,0.5301915885663107,0.375929594039917,0.5254552211073951
Subject-Dependent,Subject10,fi,RF,23,0.5803981623277182,0.5718706393348332,3.4411182403564453,0.5513016845329249
Cross-Subject,Subject10,fi,RF,28,0.5852842809364549,0.5756950229378649,41.44291663169861,0.5254552211073951
Subject-Dependent,Subject10,fi,DT,23,0.5359877488514548,0.5333523374004346,0.8509702682495117,0.5513016845329249
Cross-Subject,Subject10,fi,DT,28,0.5302861389817911,0.5297672117396249,33.393935441970825,0.5254552211073951
Subject-Dependent,Subject10,fi,GBoosting,23,0.6248085758039816,0.6215360110954952,3.211918354034424,0.5513016845329249
Cross-Subject,Subject10,fi,GBoosting,28,0.6064659977703456,0.5920644304183675,212.88531517982483,0.5254552211073951
Subject-Dependent,Subject10,lcc,SVM,29,0.6110260336906586,0.6011811423896716,0.352571964263916,0.5513016845329249
Cross-Subject,Subject10,lcc,SVM,22,0.5317725752508361,0.5100442464131641,31.59598731994629,0.5254552211073951
Subject-Dependent,Subject10,lcc,KNN,29,0.5712098009188361,0.5676095219555645,0.0057027339935302734,0.5513016845329249
Cross-Subject,Subject10,lcc,KNN,22,0.5395763656633222,0.537717474652237,0.05200815200805664,0.5254552211073951
Subject-Dependent,Subject10,lcc,RF,29,0.554364471669219,0.5327774781520684,0.6750524044036865,0.5513016845329249
Cross-Subject,Subject10,lcc,RF,22,0.5737643998513564,0.5649492240985855,24.794431924819946,0.5254552211073951
Subject-Dependent,Subject10,lcc,DT,29,0.5176110260336907,0.5056536680827473,1.3813505172729492,0.5513016845329249
Cross-Subject,Subject10,lcc,DT,22,0.5061315496098104,0.5054076734015234,25.48156499862671,0.5254552211073951
Subject-Dependent,Subject10,lcc,GBoosting,29,0.555895865237366,0.5306607124718468,24.218145608901978,0.5513016845329249
Cross-Subject,Subject10,lcc,GBoosting,22,0.5800817539947974,0.5703722006449707,183.5822672843933,0.5254552211073951
Subject-Dependent,Subject10,pca,SVM,32,0.6370597243491577,0.634128911617478,0.5836799144744873,0.5513016845329249
Cross-Subject,Subject10,pca,SVM,41,0.5414344109996284,0.5071365923078246,35.67872190475464,0.5254552211073951
Subject-Dependent,Subject10,pca,KNN,32,0.5604900459418071,0.5609766206602051,0.00422215461730957,0.5513016845329249
Cross-Subject,Subject10,pca,KNN,41,0.5235971757710888,0.5229790728099697,0.5078303813934326,0.5254552211073951
Subject-Dependent,Subject10,pca,RF,32,0.6156202143950995,0.6134370847772576,5.467882871627808,0.5513016845329249
Cross-Subject,Subject10,pca,RF,41,0.5678186547751766,0.5619619377267882,31.452993869781494,0.5254552211073951
Subject-Dependent,Subject10,pca,DT,32,0.5267993874425727,0.5255403702501358,1.162611484527588,0.5513016845329249
Cross-Subject,Subject10,pca,DT,41,0.5135637309550353,0.5138731237513318,84.45829844474792,0.5254552211073951
Subject-Dependent,Subject10,pca,GBoosting,32,0.6125574272588055,0.6083804980638093,5.406731843948364,0.5513016845329249
Cross-Subject,Subject10,pca,GBoosting,41,0.5741360089186176,0.5663080529902056,296.17984986305237,0.5254552211073951
Subject-Dependent,Subject11,none,SVM,84,0.6248085758039816,0.6239741618358214,0.3894777297973633,0.5513016845329249
Cross-Subject,Subject11,none,SVM,84,0.5239687848383501,0.5212446562695363,58.49227428436279,0.5254552211073951
Subject-Dependent,Subject11,none,KNN,84,0.5283307810107197,0.5257829182359904,0.007195949554443359,0.5513016845329249
Cross-Subject,Subject11,none,KNN,84,0.5009290226681531,0.5007603045641709,0.5841748714447021,0.5254552211073951
Subject-Dependent,Subject11,none,RF,84,0.6248085758039816,0.6257815052204372,7.247939586639404,0.5513016845329249
Cross-Subject,Subject11,none,RF,84,0.5514678558156819,0.5116368405886428,111.53934240341187,0.5254552211073951
Subject-Dependent,Subject11,none,DT,84,0.5390505359877489,0.5402529874166342,3.5368640422821045,0.5513016845329249
Cross-Subject,Subject11,none,DT,84,0.5176514306949089,0.5159216079206508,110.53654479980469,0.5254552211073951
Subject-Dependent,Subject11,none,GBoosting,84,0.6125574272588055,0.6135154385420616,11.822922229766846,0.5513016845329249
Cross-Subject,Subject11,none,GBoosting,84,0.5369751021924934,0.48041371181374487,501.0601370334625,0.5254552211073951
Subject-Dependent,Subject11,anova,SVM,41,0.6110260336906586,0.6084814261961918,0.43842363357543945,0.5513016845329249
Cross-Subject,Subject11,anova,SVM,30,0.5514678558156819,0.5503168934759469,22.47271752357483,0.5254552211073951
Subject-Dependent,Subject11,anova,KNN,41,0.5436447166921899,0.5439765071388891,0.01692485809326172,0.5513016845329249
Cross-Subject,Subject11,anova,KNN,30,0.5020438498699368,0.5005845534727906,0.1308140754699707,0.5254552211073951
Subject-Dependent,Subject11,anova,RF,41,0.5987748851454824,0.5996847738247951,4.855629920959473,0.5513016845329249
Cross-Subject,Subject11,anova,RF,30,0.5421776291341509,0.5169775694294972,29.734329223632812,0.5254552211073951
Subject-Dependent,Subject11,anova,DT,41,0.5604900459418071,0.5616496619079573,0.37476277351379395,0.5513016845329249
Cross-Subject,Subject11,anova,DT,30,0.5273132664437012,0.5269849749995612,35.385363817214966,0.5254552211073951
Subject-Dependent,Subject11,anova,GBoosting,41,0.6232771822358346,0.6241315051942733,7.946719169616699,0.5513016845329249
Cross-Subject,Subject11,anova,GBoosting,30,0.5544407283537718,0.5197063430336368,254.87396597862244,0.5254552211073951
Subject-Dependent,Subject11,fi,SVM,23,0.6324655436447167,0.6312338736839653,1.4718635082244873,0.5513016845329249
Cross-Subject,Subject11,fi,SVM,28,0.5202526941657376,0.5137872150344424,50.74720597267151,0.5254552211073951
Subject-Dependent,Subject11,fi,KNN,23,0.5849923430321593,0.584715926265048,0.00439453125,0.5513016845329249
Cross-Subject,Subject11,fi,KNN,28,0.5269416573764399,0.5246779359300332,0.44872236251831055,0.5254552211073951
Subject-Dependent,Subject11,fi,RF,23,0.6202143950995406,0.6211509612578403,4.520482063293457,0.5513016845329249
Cross-Subject,Subject11,fi,RF,28,0.5254552211073951,0.46490637185686595,41.49267840385437,0.5254552211073951
Subject-Dependent,Subject11,fi,DT,23,0.5191424196018377,0.5203624115836786,1.043952226638794,0.5513016845329249
Cross-Subject,Subject11,fi,DT,28,0.5187662578966927,0.5147500195507305,33.32084059715271,0.5254552211073951
Subject-Dependent,Subject11,fi,GBoosting,23,0.6217457886676876,0.6227266603650938,5.687504291534424,0.5513016845329249
Cross-Subject,Subject11,fi,GBoosting,28,0.5291713117800074,0.4494986465389706,213.67189931869507,0.5254552211073951
Subject-Dependent,Subject11,lcc,SVM,33,0.6003062787136294,0.5970786748192479,0.3526921272277832,0.5513016845329249
Cross-Subject,Subject11,lcc,SVM,23,0.5425492382014121,0.5255214732754425,70.81705737113953,0.5254552211073951
Subject-Dependent,Subject11,lcc,KNN,33,0.5344563552833078,0.5345284127506896,0.006182193756103516,0.5513016845329249
Cross-Subject,Subject11,lcc,KNN,23,0.5202526941657376,0.5189526080901091,0.14786911010742188,0.5254552211073951
Subject-Dependent,Subject11,lcc,RF,33,0.5972434915773354,0.5982941385068931,1.535628318786621,0.5513016845329249
Cross-Subject,Subject11,lcc,RF,23,0.5321441843180974,0.5064818220590243,35.676586627960205,0.5254552211073951
Subject-Dependent,Subject11,lcc,DT,33,0.5497702909647779,0.5504721398961576,1.2989697456359863,0.5513016845329249
Cross-Subject,Subject11,lcc,DT,23,0.5035302861389818,0.5034073254215164,49.88337469100952,0.5254552211073951
Subject-Dependent,Subject11,lcc,GBoosting,33,0.6094946401225115,0.610099272305588,29.41362452507019,0.5513016845329249
Cross-Subject,Subject11,lcc,GBoosting,23,0.5418060200668896,0.5063031577797479,249.23585557937622,0.5254552211073951
Subject-Dependent,Subject11,pca,SVM,35,0.6477794793261868,0.6478339964890086,2.251722812652588,0.5513016845329249
Cross-Subject,Subject11,pca,SVM,35,0.5473801560758083,0.5441959718349509,47.737526655197144,0.5254552211073951
Subject-Dependent,Subject11,pca,KNN,35,0.5298621745788668,0.5251254813995734,0.013291597366333008,0.5513016845329249
Cross-Subject,Subject11,pca,KNN,35,0.5053883314752879,0.5057061070501946,0.09348106384277344,0.5254552211073951
Subject-Dependent,Subject11,pca,RF,35,0.6186830015313936,0.6196718155097504,0.9889321327209473,0.5513016845329249
Cross-Subject,Subject11,pca,RF,35,0.5600148643626904,0.5460515159324972,24.633131980895996,0.5254552211073951
Subject-Dependent,Subject11,pca,DT,35,0.5467075038284839,0.5476504199565364,0.44516658782958984,0.5513016845329249
Cross-Subject,Subject11,pca,DT,35,0.5165366034931252,0.5168359560503163,17.119513988494873,0.5254552211073951
Subject-Dependent,Subject11,pca,GBoosting,35,0.6263399693721287,0.6272614296246494,7.06351637840271,0.5513016845329249
Cross-Subject,Subject11,pca,GBoosting,35,0.5444072835377183,0.5119346192400603,218.97827196121216,0.5254552211073951
Subject-Dependent,Subject12,none,SVM,84,0.5436447166921899,0.5422001137740149,0.41144847869873047,0.5513016845329249
Cross-Subject,Subject12,none,SVM,84,0.4752879970271275,0.3765100283141779,55.296448707580566,0.5254552211073951
Subject-Dependent,Subject12,none,KNN,84,0.5130168453292496,0.5141528761954559,0.042842864990234375,0.5513016845329249
Cross-Subject,Subject12,none,KNN,84,0.5031586770717206,0.5034758150451037,0.3139474391937256,0.5254552211073951
Subject-Dependent,Subject12,none,RF,84,0.5788667687595712,0.5767827930653652,4.432914733886719,0.5513016845329249
Cross-Subject,Subject12,none,RF,84,0.5254552211073951,0.5200193143915627,101.49839949607849,0.5254552211073951
Subject-Dependent,Subject12,none,DT,84,0.5497702909647779,0.5496229365368028,5.331362009048462,0.5513016845329249
Cross-Subject,Subject12,none,DT,84,0.5076179858788554,0.507528377128009,132.69941115379333,0.5254552211073951
Subject-Dependent,Subject12,none,GBoosting,84,0.5834609494640123,0.5817305083697218,13.875345230102539,0.5513016845329249
Cross-Subject,Subject12,none,GBoosting,84,0.5525826830174656,0.5501609880931217,532.3045983314514,0.5254552211073951
Subject-Dependent,Subject12,anova,SVM,19,0.5635528330781011,0.5539595073720227,2.353790044784546,0.5513016845329249
Cross-Subject,Subject12,anova,SVM,30,0.49646971386101824,0.47584782725014463,78.72978925704956,0.5254552211073951
Subject-Dependent,Subject12,anova,KNN,19,0.5359877488514548,0.5352332089561409,0.0036771297454833984,0.5513016845329249
Cross-Subject,Subject12,anova,KNN,30,0.483835005574136,0.48404073576213485,0.13486361503601074,0.5254552211073951
Subject-Dependent,Subject12,anova,RF,19,0.555895865237366,0.5488487503169762,2.102390766143799,0.5513016845329249
Cross-Subject,Subject12,anova,RF,30,0.5053883314752879,0.5052089278305036,34.09478688240051,0.5254552211073951
Subject-Dependent,Subject12,anova,DT,19,0.5252679938744257,0.526182042965048,1.4464678764343262,0.5513016845329249
Cross-Subject,Subject12,anova,DT,30,0.5035302861389818,0.5038500841311675,67.29517245292664,0.5254552211073951
Subject-Dependent,Subject12,anova,GBoosting,19,0.5451761102603369,0.5392814083491122,2.664754867553711,0.5513016845329249
Cross-Subject,Subject12,anova,GBoosting,30,0.5183946488294314,0.5178012668934499,168.08038926124573,0.5254552211073951
Subject-Dependent,Subject12,fi,SVM,27,0.5497702909647779,0.5493019699508199,0.689011812210083,0.5513016845329249
Cross-Subject,Subject12,fi,SVM,28,0.46897064288368634,0.3221144348641456,55.07545876502991,0.5254552211073951
Subject-Dependent,Subject12,fi,KNN,27,0.49770290964777947,0.4978575782798115,0.0040929317474365234,0.5513016845329249
Cross-Subject,Subject12,fi,KNN,28,0.5165366034931252,0.5168452022241435,0.41321587562561035,0.5254552211073951
Subject-Dependent,Subject12,fi,RF,27,0.5926493108728943,0.5911625018478255,8.816121101379395,0.5513016845329249
Cross-Subject,Subject12,fi,RF,28,0.5351170568561873,0.5320586750113915,34.867897272109985,0.5254552211073951
Subject-Dependent,Subject12,fi,DT,27,0.5007656967840735,0.5020807566630949,0.29122161865234375,0.5513016845329249
Cross-Subject,Subject12,fi,DT,28,0.5117056856187291,0.5120174682902435,17.192298889160156,0.5254552211073951
Subject-Dependent,Subject12,fi,GBoosting,27,0.5819295558958653,0.5807042877870501,22.088722229003906,0.5513016845329249
Cross-Subject,Subject12,fi,GBoosting,28,0.5473801560758083,0.5431690190023898,233.13983964920044,0.5254552211073951
Subject-Dependent,Subject12,lcc,SVM,38,0.5375191424196019,0.5353553109139376,1.1559593677520752,0.5513016845329249
Cross-Subject,Subject12,lcc,SVM,21,0.48494983277591974,0.47805469109816934,79.65194773674011,0.5254552211073951
Subject-Dependent,Subject12,lcc,KNN,38,0.5099540581929556,0.5105009637762533,0.03632307052612305,0.5513016845329249
Cross-Subject,Subject12,lcc,KNN,21,0.4998141954663694,0.500137642580195,0.24946856498718262,0.5254552211073951
Subject-Dependent,Subject12,lcc,RF,38,0.5604900459418071,0.5578187135917756,0.7141075134277344,0.5513016845329249
Cross-Subject,Subject12,lcc,RF,21,0.5076179858788554,0.5062406264906105,24.656744241714478,0.5254552211073951
Subject-Dependent,Subject12,lcc,DT,38,0.5176110260336907,0.5178303389201079,2.1928274631500244,0.5513016845329249
Cross-Subject,Subject12,lcc,DT,21,0.4908955778520996,0.49108657884824725,34.21575331687927,0.5254552211073951
Subject-Dependent,Subject12,lcc,GBoosting,38,0.5390505359877489,0.53701589108193,5.1773998737335205,0.5513016845329249
Cross-Subject,Subject12,lcc,GBoosting,21,0.5091044221479004,0.5044999681198566,183.2003378868103,0.5254552211073951
Subject-Dependent,Subject12,pca,SVM,51,0.5635528330781011,0.5630157413498081,1.9683897495269775,0.5513016845329249
Cross-Subject,Subject12,pca,SVM,35,0.49126718691936083,0.4403230134952802,51.312153577804565,0.5254552211073951
Subject-Dependent,Subject12,pca,KNN,51,0.5405819295558959,0.5415375877937869,0.04876708984375,0.5513016845329249
Cross-Subject,Subject12,pca,KNN,35,0.4990709773318469,0.4993882103167741,0.1539134979248047,0.5254552211073951
Subject-Dependent,Subject12,pca,RF,51,0.5497702909647779,0.5444600141663003,4.780419826507568,0.5513016845329249
Cross-Subject,Subject12,pca,RF,35,0.5243403939056113,0.5231529508726812,16.544365644454956,0.5254552211073951
Subject-Dependent,Subject12,pca,DT,51,0.48392036753445633,0.4846714313953659,0.6599650382995605,0.5513016845329249
Cross-Subject,Subject12,pca,DT,35,0.49126718691936083,0.4915360489052041,19.52570676803589,0.5254552211073951
Subject-Dependent,Subject12,pca,GBoosting,51,0.5375191424196019,0.5353553109139376,13.506911754608154,0.5513016845329249
Cross-Subject,Subject12,pca,GBoosting,35,0.5176514306949089,0.5161502640642949,210.81753015518188,0.5254552211073951
Subject-Dependent,Subject13,none,SVM,84,0.6263399693721287,0.6272482441780641,0.4219350814819336,0.5513016845329249
Cross-Subject,Subject13,none,SVM,84,0.5131921218877741,0.5127141014830676,52.39450716972351,0.5254552211073951
Subject-Dependent,Subject13,none,KNN,84,0.5421133231240429,0.5427796972914374,0.013304710388183594,0.5513016845329249
Cross-Subject,Subject13,none,KNN,84,0.5366034931252323,0.5357108753346868,0.21088767051696777,0.5254552211073951
Subject-Dependent,Subject13,none,RF,84,0.6110260336906586,0.6110260336906586,3.3587114810943604,0.5513016845329249
Cross-Subject,Subject13,none,RF,84,0.5830546265328874,0.5695852120663454,85.79898691177368,0.5254552211073951
Subject-Dependent,Subject13,none,DT,84,0.5283307810107197,0.5294310876358502,5.86212682723999,0.5513016845329249
Cross-Subject,Subject13,none,DT,84,0.5161649944258639,0.51630839122882,149.44951391220093,0.5254552211073951
Subject-Dependent,Subject13,none,GBoosting,84,0.6079632465543645,0.6083027060416485,10.235278367996216,0.5513016845329249
Cross-Subject,Subject13,none,GBoosting,84,0.5923448532144184,0.5836355336291835,500.40263652801514,0.5254552211073951
Subject-Dependent,Subject13,anova,SVM,22,0.6186830015313936,0.6195029897479988,0.39639854431152344,0.5513016845329249
Cross-Subject,Subject13,anova,SVM,30,0.5280564845782237,0.47246314882900786,23.45622992515564,0.5254552211073951
Subject-Dependent,Subject13,anova,KNN,22,0.5803981623277182,0.5802608320104896,0.007831335067749023,0.5513016845329249
Cross-Subject,Subject13,anova,KNN,30,0.5239687848383501,0.5231913903269992,0.078704833984375,0.5254552211073951
Subject-Dependent,Subject13,anova,RF,22,0.6125574272588055,0.612226299414573,1.1907618045806885,0.5513016845329249
Cross-Subject,Subject13,anova,RF,30,0.5867707172054998,0.573889374982649,24.644674062728882,0.5254552211073951
Subject-Dependent,Subject13,anova,DT,22,0.5160796324655437,0.5173562210397318,1.4780187606811523,0.5513016845329249
Cross-Subject,Subject13,anova,DT,30,0.5027870680044593,0.5015872978919269,47.78337264060974,0.5254552211073951
Subject-Dependent,Subject13,anova,GBoosting,22,0.6003062787136294,0.60134274637769,12.654585838317871,0.5513016845329249
Cross-Subject,Subject13,anova,GBoosting,30,0.5830546265328874,0.5745721664572864,257.5947105884552,0.5254552211073951
Subject-Dependent,Subject13,fi,SVM,21,0.6309341500765697,0.6298525031380187,1.7443640232086182,0.5513016845329249
Cross-Subject,Subject13,fi,SVM,26,0.4972129319955407,0.4900715211471177,35.84058904647827,0.5254552211073951
Subject-Dependent,Subject13,fi,KNN,21,0.5742725880551302,0.5751581646889091,0.0030832290649414062,0.5513016845329249
Cross-Subject,Subject13,fi,KNN,26,0.5332590115198811,0.5335018153495116,0.24003934860229492,0.5254552211073951
Subject-Dependent,Subject13,fi,RF,21,0.6033690658499234,0.6018223478569227,2.1223766803741455,0.5513016845329249
